time,V
275.4,4.81E-01
275.91,4.81E-01
276.42,4.81E-01
276.93,4.80E-01
277.44,4.80E-01
277.95,4.80E-01
278.46,4.80E-01
278.97,4.80E-01
279.48,4.80E-01
279.99,4.80E-01
280.5,4.80E-01
281.01,4.79E-01
281.52,4.79E-01
282.03,4.79E-01
282.54,4.79E-01
283.05,4.79E-01
283.56,4.79E-01
284.07,4.79E-01
284.58,4.79E-01
285.09,4.79E-01
285.6,4.78E-01
286.11,4.78E-01
286.62,4.78E-01
287.13,4.78E-01
287.64,4.78E-01
288.15,4.78E-01
288.66,4.78E-01
289.17,4.78E-01
289.68,4.78E-01
290.19,4.77E-01
290.7,4.77E-01
291.21,4.77E-01
291.72,4.77E-01
292.23,4.77E-01
292.74,4.77E-01
293.25,4.77E-01
293.76,4.77E-01
294.27,4.77E-01
294.78,4.76E-01
295.29,4.76E-01
295.8,4.76E-01
296.31,4.76E-01
296.82,4.76E-01
297.33,4.76E-01
297.84,4.76E-01
298.35,4.76E-01
298.86,4.76E-01
299.37,4.75E-01
299.88,4.75E-01
300.39,4.75E-01
300.9,4.75E-01
301.41,4.75E-01
301.92,4.75E-01
302.43,4.75E-01
302.94,4.75E-01
303.45,4.74E-01
303.96,4.74E-01
304.47,4.74E-01
304.98,4.74E-01
305.49,4.74E-01
306,4.74E-01
306.51,4.74E-01
307.02,4.74E-01
307.53,4.74E-01
308.04,4.74E-01
308.55,4.73E-01
309.06,4.73E-01
309.57,4.73E-01
310.08,4.73E-01
310.59,4.73E-01
311.1,4.73E-01
311.61,4.73E-01
312.12,4.73E-01
312.63,4.73E-01
313.14,4.72E-01
313.65,4.72E-01
314.16,4.72E-01
314.67,4.72E-01
315.18,4.72E-01
315.69,4.72E-01
316.2,4.72E-01
316.71,4.72E-01
317.22,4.72E-01
317.73,4.71E-01
318.24,4.71E-01
318.75,4.71E-01
319.26,4.71E-01
319.77,4.71E-01
320.28,4.71E-01
320.79,4.71E-01
321.3,4.71E-01
321.81,4.71E-01
322.32,4.70E-01
322.83,4.70E-01
323.34,4.70E-01
323.85,4.70E-01
324.36,4.70E-01
324.87,4.70E-01
325.38,4.70E-01
325.89,4.70E-01
326.4,4.70E-01
326.91,4.70E-01
327.42,4.69E-01
327.93,4.69E-01
328.44,4.69E-01
328.95,4.69E-01
329.46,4.69E-01
329.97,4.69E-01
330.48,4.69E-01
330.99,4.69E-01
331.5,4.69E-01
332.01,4.69E-01
332.52,4.68E-01
333.03,4.68E-01
333.54,4.68E-01
334.05,4.68E-01
334.56,4.68E-01
335.07,4.68E-01
335.58,4.68E-01
336.09,4.68E-01
336.6,4.68E-01
337.11,4.67E-01
337.62,4.67E-01
338.13,4.67E-01
338.64,4.67E-01
339.15,4.67E-01
339.66,4.67E-01
340.17,4.67E-01
340.68,4.67E-01
341.19,4.67E-01
341.7,4.67E-01
342.21,4.66E-01
342.72,4.66E-01
343.23,4.66E-01
343.74,4.66E-01
344.25,4.66E-01
344.76,4.66E-01
345.27,4.66E-01
345.78,4.66E-01
346.29,4.66E-01
346.8,4.65E-01
347.31,4.65E-01
347.82,4.65E-01
348.33,4.65E-01
348.84,4.65E-01
349.35,4.65E-01
349.86,4.65E-01
350.37,4.65E-01
350.88,4.65E-01
351.39,4.65E-01
351.9,4.65E-01
352.41,4.64E-01
352.92,4.64E-01
353.43,4.64E-01
353.94,4.64E-01
354.45,4.64E-01
354.96,4.64E-01
355.47,4.64E-01
355.98,4.64E-01
356.49,4.64E-01
357,4.63E-01
357.51,4.63E-01
358.02,4.63E-01
358.53,4.63E-01
359.04,4.63E-01
359.55,4.63E-01
360.06,4.63E-01
360.57,4.63E-01
361.08,4.63E-01
361.59,4.63E-01
362.1,4.62E-01
362.61,4.62E-01
363.12,4.62E-01
363.63,4.62E-01
364.14,4.62E-01
364.65,4.62E-01
365.16,4.62E-01
365.67,4.62E-01
366.18,4.62E-01
366.69,4.62E-01
367.2,4.61E-01
367.71,4.61E-01
368.22,4.61E-01
368.73,4.61E-01
369.24,4.61E-01
369.75,4.61E-01
370.26,4.61E-01
370.77,4.61E-01
371.28,4.61E-01
371.79,4.61E-01
372.3,4.61E-01
372.81,4.60E-01
373.32,4.60E-01
373.83,4.60E-01
374.34,4.60E-01
374.85,4.60E-01
